Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Banjo,23/9/16,N,"Ritesh Deshmukh, Nargis Fakhri",0,0,<25,<50,"8,02,50,000",2:17,2 - 2.5,565,762,2756,3823,4617,5295,2.114110038,1,-1.694283803,-1.374328026,34.87,261.68,38.72,20.77,14.68,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Mirzya,10/7/2016,N,"Harshvardhan Kapoor, Shiyami Kher",0,0,<25,<50,"7,92,25,000",2:09,2 - 2.5,6658,7383,13993,55787,59551,60129,2.096957565,1,-0.62298846,-0.319110009,10.89,89.53,298.68,6.75,0.97,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Anna,14/10/16,N,"Shashank Udapurkar,?Tanishaa Mukerji,?Govind Namdeo,Rajit Kapur,?Sharat Saxena,?Kishor Kadam",0,0,<25,<50,"18,25,000",2:22,2 - 2.5,344,345,419,42337,43259,43209,2.491753552,1,-1.909773808,-0.462619775,0.29,21.45,10004.3,2.18,-0.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beiimaan Love ,14/10/16,N,"Sunny Leone, Rajneesh Duggal",0,0,<25,<50,"2,10,00,000",2:00,2 - 2.5,11091,13025,18847,32871,42578,47150,1.990929973,1,-0.401361545,-0.424712293,17.44,44.7,74.41,29.53,10.74,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Saat Uchakkey,14/10/16,N,"Manoj Bajpai, Aditi Sharma",0,0,<25,<50,"2,06,50,000",2:19,2 - 2.5,0,0,1157,6795,16260,20905,4.317074178,0,-1.878639897,-0.777943819,0,0,487.29,139.29,28.57,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Fuddu,14/10/16,N,"Shubham , Swati Kapoor",0,0,<25,<50,"17,25,000",1:40,<2,1367,1391,1421,14713,14882,14951,2.213388998,1,-1.310563736,-0.923523749,1.76,2.16,935.4,1.15,0.46,0,1,0,1,0,0,0,1,0,0,0,0,0,0
31st October,21/10/16,Y,"Soha Ali Khan, Vir Das",0,0,<25,<50,"99,80,000",1:49,<2,10136,10287,30694,44638,45455,45968,1.627646767,1,-0.440465649,-0.435738382,1.49,198.38,45.43,1.83,1.13,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Ishq Junoon,11/11/2016,Y,"Rajbeer Singh, Divya Singh",0,0,<25,<50,"4,00,000",1:43,<2,9885,10092,11439,11705,11869,11960,1.087470449,1,-0.451355577,-1.020462811,2.09,13.35,2.33,1.4,0.77,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Dear Zindagi,23/11/16,N,"Alia Bhatt, Shahrukh Khan",1,1,50 - 75,50-100,"64,34,00,000",2:31,2.5 - 3,11516,13282,24324,37502,42259,45305,1.757601856,1,-0.385030594,-0.442047856,15.34,83.14,54.18,12.68,7.21,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Saansein,25/11/16,Y,Rajneesh Duggal,0,0,<25,<50,"2,50,00,000",1:41,<2,135,12049,16239,18135,18727,19294,1.47767481,1,-2.315998482,-0.812771716,8825.19,34.77,11.68,3.26,3.03,0,1,0,0,0,0,1,0,0,0,0,0,0,1
